Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.15,0.2,0.25,0.0,0.1,0.25,0.05,9.268,0.3455,2575.85,Nb-Ta-V-Mo-Ti-W,215.471119634807,0.18257418583505536
0.15,0.2,0.25,0.0,0.2,0.2,0.0,9.1082,0.3465,2583.65,Nb-Ta-V-Mo-Ti,258.1530332388525,0.1957890020745122
0.15,0.2,0.25,0.05,0.1,0.2,0.05,9.400200000000002,0.34,2587.8,Nb-Ta-V-Cr-Mo-Ti-W,334.76735978811547,0.13540064007726604
0.15,0.2,0.25,0.05,0.2,0.15,0.0,9.2404,0.3409999999999999,2595.6000000000004,Nb-Ta-V-Cr-Mo-Ti,388.2297221893154,0.16832508230603466
0.15,0.2,0.25,0.1,0.2,0.1,0.0,9.3726,0.3355,2607.55,Nb-Ta-V-Cr-Mo-Ti,520.9626852492778,0.16832508230603466
0.15,0.2,0.3,0.0,0.1,0.2,0.05,9.3482,0.348,2587.95,Nb-Ta-V-Mo-Ti-W,262.5162961802227,0.16329931618554522
0.15,0.2,0.3,0.0,0.2,0.15,0.0,9.1884,0.349,2595.75,Nb-Ta-V-Mo-Ti,308.01271703368843,0.19148542155126763
0.15,0.2,0.3,0.05,0.1,0.15,0.05,9.4804,0.3425,2599.9,Nb-Ta-V-Cr-Mo-Ti-W,381.8480652281772,0.12909944487358055
0.15,0.2,0.3,0.05,0.2,0.1,0.0,9.3206,0.3434999999999999,2607.7,Nb-Ta-V-Cr-Mo-Ti,436.42442194533936,0.17795130420052185
0.15,0.2,0.3,0.1,0.2,0.05,0.0,9.4528,0.3379999999999999,2619.65,Nb-Ta-V-Cr-Mo-Ti,564.8484876745568,0.19148542155126763
0.15,0.2,0.3,0.15,0.05,0.1,0.05,9.4561,0.332,2576.05,Nb-Ta-V-Cr-Mo-Ti-W,526.4506610844435,0.1632993161855452
0.15,0.2,0.3,0.15,0.15,0.05,0.0,9.2963,0.333,2583.85,Nb-Ta-V-Cr-Mo-Ti,592.8425148631013,0.19148542155126763
0.15,0.2,0.35,0.0,0.1,0.15,0.05,9.4284,0.3505,2600.05,Nb-Ta-V-Mo-Ti-W,307.3364208415844,0.1732050807568877
0.15,0.2,0.35,0.1,0.05,0.1,0.05,9.4041,0.34,2576.2,Nb-Ta-V-Cr-Mo-Ti-W,453.5593446180932,0.17320508075688773
0.15,0.2,0.35,0.1,0.15,0.05,0.0,9.2443,0.3409999999999999,2584.0,Nb-Ta-V-Cr-Mo-Ti,513.9968398288212,0.19999999999999998
0.15,0.25,0.2,0.05,0.15,0.2,0.0,9.4807,0.34,2603.2,Nb-Ta-V-Cr-Mo-Ti,310.4293938776707,0.16832508230603463
0.15,0.25,0.2,0.15,0.1,0.15,0.0,9.456400000000002,0.3295,2579.3500000000004,Nb-Ta-V-Cr-Mo-Ti,479.64167740674,0.16832508230603463
0.15,0.25,0.25,0.0,0.15,0.2,0.0,9.4287,0.348,2603.3500000000004,Nb-Ta-V-Mo-Ti,237.42533119699223,0.17795130420052185
0.15,0.25,0.25,0.1,0.1,0.15,0.0,9.4044,0.3375,2579.5,Nb-Ta-V-Cr-Mo-Ti,406.0792095596053,0.14719601443879746
0.15,0.25,0.3,0.05,0.1,0.15,0.0,9.3524,0.3455,2579.65,Nb-Ta-V-Cr-Mo-Ti,335.3045606172318,0.15811388300841897
0.15,0.25,0.3,0.1,0.1,0.1,0.0,9.4846,0.34,2591.6,Nb-Ta-V-Cr-Mo-Ti,450.07311609889217,0.15811388300841897
0.15,0.25,0.35,0.0,0.1,0.15,0.0,9.3004,0.3535,2579.8,Nb-Ta-V-Mo-Ti,267.96202605906467,0.19578900207451216
0.15,0.25,0.35,0.05,0.1,0.1,0.0,9.4326,0.348,2591.75,Nb-Ta-V-Cr-Mo-Ti,377.4321897546319,0.18257418583505536
0.2,0.05,0.25,0.1,0.1,0.15,0.15,9.3824,0.3315,2613.25,Nb-Ta-V-Cr-Mo-Ti-W,524.9551925417364,0.19148542155126763
0.2,0.05,0.25,0.1,0.15,0.15,0.1,8.933900000000001,0.333,2573.3,Nb-Ta-V-Cr-Mo-Ti-W,500.8640262472494,0.19148542155126763
0.2,0.05,0.3,0.05,0.1,0.15,0.15,9.3304,0.3395,2613.4,Nb-Ta-V-Cr-Mo-Ti-W,437.6060228433663,0.2
0.2,0.05,0.3,0.05,0.15,0.15,0.1,8.8819,0.341,2573.4500000000003,Nb-Ta-V-Cr-Mo-Ti-W,416.4979650190273,0.2
